"ESTU_GENERO","ESTU_CONSECUTIVO","ESTU_TIENEETNIA","ESTU_DEPTO_RESIDE","ESTU_COD_RESIDE_DEPTO","FAMI_ESTRATOVIVIENDA","FAMI_EDUCACIONPADRE","FAMI_EDUCACIONMADRE","FAMI_TRABAJOLABORPADRE","FAMI_TRABAJOLABORMADRE","FAMI_NUMLIBROS","ESTU_DEDICACIONLECTURADIARIA","ESTU_DEDICACIONINTERNET","ESTU_HORASSEMANATRABAJA","COLE_NATURALEZA","COLE_BILINGUE","COLE_JORNADA","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PUNT_INGLES","PUNT_GLOBAL"
"F","SB11202040128042","Si","CHOCO",27,"Estrato 3","Secundaria (Bachillerato) completa","Ninguno","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",46,28,39,31,41,182
"F","SB11202040512099","No","BOLIVAR",13,"Estrato 1","Secundaria (Bachillerato) completa","Primaria completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","30 minutos o menos","No Navega Internet","0","OFICIAL","N","MAÑANA",45,36,40,40,49,205
"F","SB11202040462055","No","CORDOBA",23,"Estrato 1","No sabe","Secundaria (Bachillerato) incompleta",NA,NA,"11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","OFICIAL","N","UNICA",51,42,43,39,33,215
"M","SB11202040358269","No","ATLANTICO",8,"Estrato 2","Técnica o tecnológica completa","Secundaria (Bachillerato) incompleta","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","Entre 1 y 2 horas","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",52,57,40,39,45,234
"M","SB11202040306080","No","ANTIOQUIA",5,"Estrato 3","Primaria completa","Primaria completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","NO OFICIAL",NA,"SABATINA",50,48,40,42,41,223
"F","SB11202040573573",NA,"BOGOTÁ",11,"Estrato 4","Secundaria (Bachillerato) completa","Postgrado","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","26 A 100 LIBROS","30 minutos o menos","Más de 3 horas","0","NO OFICIAL",NA,"UNICA",65,23,56,72,69,276
"M","SB11202040271013","No","BOGOTÁ",11,"Estrato 2","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Trabaja en el hogar, no trabaja o estudia","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","11 A 25 LIBROS","30 minutos o menos","Más de 3 horas","0","NO OFICIAL","N","COMPLETA",52,63,38,36,49,237
"M","SB11202040472389","No","BOYACA",15,"Sin Estrato","Primaria incompleta","Ninguno","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","N","MAÑANA",39,45,42,30,36,194
"F","SB11202040525418","No","META",50,"Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","No sabe","0 A 10 LIBROS","Entre 1 y 2 horas","Más de 3 horas","Entre 11 y 20 horas","OFICIAL","N","UNICA",41,42,39,42,46,207
"F","SB11202040391701","No","CAUCA",19,"Estrato 1","Secundaria (Bachillerato) incompleta","Primaria incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es agricultor, pesquero o jornalero","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","Menos de 10 horas","OFICIAL","N","UNICA",37,50,45,43,35,215
"M","SB11202040194116","No","CORDOBA",23,"Estrato 2","No sabe","No sabe","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",42,41,40,40,32,200
"F","SB11202040247894","Si","BOLIVAR",13,"Sin Estrato","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","No sabe","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL",NA,"MAÑANA",35,40,30,33,31,171
"F","SB11202040288189","No","TOLIMA",73,"Estrato 2","Educación profesional incompleta","Técnica o tecnológica incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","30 minutos o menos","Más de 3 horas","0","OFICIAL","N","UNICA",52,38,56,42,46,235
"F","SB11202040271297","No","BOGOTÁ",11,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","NO OFICIAL","N","COMPLETA",60,60,70,70,69,327
"M","SB11202040225707","No","SANTANDER",68,"Estrato 2","Primaria incompleta","Secundaria (Bachillerato) incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Más de 30 horas","OFICIAL","N","MAÑANA",43,51,42,42,43,222
"M","SB11202040484791","No","BOGOTÁ",11,"Estrato 4","Educación profesional completa","Técnica o tecnológica completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","Más de 30 horas","OFICIAL","N","NOCHE",50,44,31,39,37,203
"F","SB11202040037585","No","CUNDINAMARCA",25,"Estrato 2","Primaria completa","Primaria completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","Más de 2 horas","Más de 3 horas","0","OFICIAL","N","MAÑANA",59,45,41,44,43,235
"F","SB11202040126515","No","BOYACA",15,"Estrato 1","Secundaria (Bachillerato) completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","NO OFICIAL",NA,"MAÑANA",58,62,52,50,70,283
"M","SB11202040573707",NA,"BOLIVAR",13,"Estrato 1","Secundaria (Bachillerato) completa","Ninguno","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia",NA,"30 minutos o menos","30 minutos o menos","Más de 30 horas","NO OFICIAL","N","SABATINA",39,42,30,37,37,185
"F","SB11202040494535","No","ANTIOQUIA",5,"Estrato 2","Secundaria (Bachillerato) completa","Educación profesional incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",58,60,29,52,47,248
"F","SB11202040206619","Si","PUTUMAYO",86,"Estrato 1","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","S","MAÑANA",61,46,53,45,63,261
"M","SB11202040060044","No","BOGOTÁ",11,"Estrato 4","Educación profesional completa","Educación profesional completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","MÁS DE 100 LIBROS","30 minutos o menos","Más de 3 horas","0","OFICIAL","N","MAÑANA",55,53,54,57,49,272
"M","SB11202040245217","No","BOYACA",15,"Estrato 4","Técnica o tecnológica completa","Técnica o tecnológica completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL","N","TARDE",62,50,56,63,57,288
"M","SB11202040373118","No","VALLE",76,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es vendedor o trabaja en atención al público","11 A 25 LIBROS","Entre 1 y 2 horas","Más de 3 horas","0","OFICIAL","N","MAÑANA",59,52,61,58,57,287
"F","SB11202040069131","No","CUNDINAMARCA",25,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","No leo por entretenimiento","Más de 3 horas","Más de 30 horas","OFICIAL","N","TARDE",63,61,57,58,50,295
"M","SB11202040274004","No","ANTIOQUIA",5,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","30 minutos o menos","0","OFICIAL","N","MAÑANA",52,42,34,42,34,209
"F","SB11202040376068","No","BOGOTÁ",11,"Estrato 3","Educación profesional completa","Secundaria (Bachillerato) completa","Pensionado","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","30 minutos o menos","Más de 3 horas","0","NO OFICIAL","N","COMPLETA",49,48,45,61,30,246
"M","SB11202040261359","Si","CESAR",20,"Estrato 2","Secundaria (Bachillerato) completa","Técnica o tecnológica incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","26 A 100 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","Entre 21 y 30 horas","OFICIAL","N","UNICA",48,46,47,40,39,224
"M","SB11202040191556","No","CORDOBA",23,"Estrato 1","No sabe","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","0","OFICIAL","N","TARDE",63,72,63,70,60,332
"F","SB11202040517844","No","CESAR",20,"Estrato 1","Primaria completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","0","OFICIAL","N","TARDE",47,41,34,41,42,204
"M","SB11202040083080","No","SANTANDER",68,"Estrato 3","Secundaria (Bachillerato) completa","Educación profesional incompleta","No sabe","No sabe","0 A 10 LIBROS","No leo por entretenimiento","Más de 3 horas","0","NO OFICIAL",NA,"MAÑANA",52,57,59,53,55,276
"F","SB11202040294626","No","BOGOTÁ",11,"Estrato 3","Educación profesional incompleta","Técnica o tecnológica completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","NO OFICIAL","N","COMPLETA",58,62,57,56,70,296
"F","SB11202040545179","No","ANTIOQUIA",5,"Estrato 3","Educación profesional completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Es vendedor o trabaja en atención al público","26 A 100 LIBROS","30 minutos o menos","Más de 3 horas","0","OFICIAL","N","MAÑANA",77,69,72,68,74,358
"M","SB11202040320502","No","BOGOTÁ",11,"Estrato 4","Secundaria (Bachillerato) incompleta","Educación profesional incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","11 A 25 LIBROS","30 minutos o menos","Más de 3 horas","Menos de 10 horas","NO OFICIAL","N","UNICA",50,55,52,48,48,255
"M","SB11202040119497","No","BOGOTÁ",11,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Entre 21 y 30 horas","OFICIAL","N","MAÑANA",48,34,40,37,44,200
"F","SB11202040328119","No","SANTANDER",68,"Estrato 2","Técnica o tecnológica incompleta","Secundaria (Bachillerato) completa","Pensionado","Es vendedor o trabaja en atención al público","26 A 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Entre 11 y 20 horas","OFICIAL","N","UNICA",56,54,48,48,37,252
"M","SB11202040418082","No","RISARALDA",66,"Estrato 3","Primaria completa","Educación profesional completa","Es agricultor, pesquero o jornalero",NA,"11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","S","COMPLETA",43,39,33,36,44,191
"M","SB11202040283278","No","BOYACA",15,"Estrato 2","Primaria incompleta","Primaria completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",46,50,43,39,39,220
"F","SB11202040305242","No","NORTE SANTANDER",54,"Estrato 1","Ninguno","Primaria incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 30 y 60 minutos","No Navega Internet","Menos de 10 horas","OFICIAL",NA,"MAÑANA",40,38,47,39,38,204
"F","SB11202040230523","Si","CORDOBA",23,"Estrato 1","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Entre 11 y 20 horas","OFICIAL",NA,"MAÑANA",44,36,34,32,38,183
"F","SB11202040537317","No","CESAR",20,"Estrato 1","No sabe","No sabe","No sabe","No sabe","0 A 10 LIBROS","Entre 30 y 60 minutos","No Navega Internet","0","OFICIAL","N","TARDE",56,45,48,39,43,233
"M","SB11202040350603","No","HUILA",41,"Estrato 2","Secundaria (Bachillerato) incompleta","Primaria incompleta","Es vendedor o trabaja en atención al público","Es vendedor o trabaja en atención al público","26 A 100 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL","N","UNICA",35,35,37,36,38,180
"F","SB11202040217674","No","BOLIVAR",13,"Estrato 4","Primaria incompleta","Técnica o tecnológica incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","MÁS DE 100 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL",NA,"MAÑANA",30,38,32,40,38,176
"F","SB11202040060801","No","ATLANTICO",8,"Estrato 2","Primaria completa","Técnica o tecnológica completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",42,46,31,35,38,192
"F","SB11202040053367","Si","CORDOBA",23,"Estrato 1","Ninguno","Primaria completa","Es agricultor, pesquero o jornalero","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","MÁS DE 100 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL",NA,"MAÑANA",38,26,37,30,33,164
"M","SB11202040227382","No","BOLIVAR",13,"Estrato 2","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","30 minutos o menos","30 minutos o menos","Menos de 10 horas","OFICIAL","N","MAÑANA",41,53,27,32,47,195
"F","SB11202040575376",NA,"ARAUCA",81,"Estrato 1","Primaria incompleta","Primaria incompleta","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL",NA,"TARDE",41,50,49,39,50,226
"F","SB11202040162600","No","VALLE",76,"Estrato 2","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","Menos de 10 horas","OFICIAL","N","MAÑANA",50,43,42,37,49,217
"M","SB11202040462433","No","HUILA",41,"Estrato 2","Primaria completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","Menos de 10 horas","OFICIAL","N","UNICA",33,54,45,43,38,217
"M","SB11202040304998","No","META",50,"Estrato 2","Educación profesional incompleta","Educación profesional completa","Es agricultor, pesquero o jornalero","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",63,70,57,52,46,297
"M","SB11202040140872","No","CUNDINAMARCA",25,"Estrato 3","Secundaria (Bachillerato) completa","Educación profesional completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","0","NO OFICIAL",NA,"COMPLETA",61,66,55,56,63,299
"F","SB11202040105506","No","ATLANTICO",8,"Estrato 2","Educación profesional completa","Secundaria (Bachillerato) incompleta","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",41,52,47,45,52,233
"F","SB11202040068459","No","TOLIMA",73,"Estrato 3","Secundaria (Bachillerato) incompleta","Educación profesional incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","Menos de 10 horas","NO OFICIAL","N","COMPLETA",36,37,40,35,39,186
"F","SB11202040054767","No","SANTANDER",68,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","No leo por entretenimiento","30 minutos o menos","0","OFICIAL","N","MAÑANA",58,64,59,57,48,293
"M","SB11202040253781","Si","CESAR",20,"Sin Estrato","Primaria incompleta","Primaria incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","Entre 11 y 20 horas","OFICIAL","N","COMPLETA",35,38,56,50,39,222
"M","SB11202040188699","No","SUCRE",70,"Estrato 1","Primaria incompleta","Primaria completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","30 minutos o menos","Menos de 10 horas","OFICIAL","N","MAÑANA",51,57,38,36,42,226
"F","SB11202040233498","No","CAUCA",19,"Estrato 3","Secundaria (Bachillerato) incompleta","Postgrado","No sabe","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","0 A 10 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","Entre 11 y 20 horas","NO OFICIAL","N","MAÑANA",39,47,36,42,37,203
"F","SB11202040500142","No","HUILA",41,"Estrato 2","Educación profesional completa","Técnica o tecnológica completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","0","OFICIAL","N","UNICA",51,47,47,46,41,236
"M","SB11202040472444","No","CORDOBA",23,"Estrato 1","Secundaria (Bachillerato) completa","Primaria completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",58,60,60,41,48,271
"F","SB11202040359908","No","TOLIMA",73,"Estrato 2","Primaria incompleta","Secundaria (Bachillerato) incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",46,47,41,48,32,222
"F","SB11202040142589","No","BOGOTÁ",11,"Estrato 3","No Aplica","Primaria completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es vendedor o trabaja en atención al público","26 A 100 LIBROS","No leo por entretenimiento","30 minutos o menos","0","OFICIAL","N","MAÑANA",44,51,45,51,36,234
"F","SB11202040455007","No","CALDAS",17,"Estrato 2","Técnica o tecnológica completa","Primaria completa","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","N","UNICA",49,48,51,46,52,244
"F","SB11202040260090","No","NARIÑO",52,"Estrato 2","Primaria incompleta","Primaria incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","30 minutos o menos","No Navega Internet","0","OFICIAL","N","UNICA",47,46,36,41,45,213
"F","SB11202040426393","No","META",50,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","No sabe","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","OFICIAL","N","UNICA",68,48,56,59,54,287
"F","SB11202040575801",NA,"NORTE SANTANDER",54,NA,"Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","Menos de 10 horas","NO OFICIAL","N","MAÑANA",49,44,49,37,38,221
"M","SB11202040540533","No","MAGDALENA",47,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Entre 11 y 20 horas","OFICIAL","N","UNICA",51,45,47,44,44,233
"F","SB11202040438137","No","TOLIMA",73,"Estrato 1","Secundaria (Bachillerato) incompleta","Primaria completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","0","OFICIAL","N","MAÑANA",51,46,39,40,49,222
"M","SB11202040340525","No","SANTANDER",68,"Estrato 1","No sabe","Secundaria (Bachillerato) completa","No sabe","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","NO OFICIAL","N","MAÑANA",56,54,54,62,51,280
"M","SB11202040410582","No","BOLIVAR",13,"Estrato 3","Secundaria (Bachillerato) completa","Educación profesional completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","N","MAÑANA",30,28,32,28,44,153
"F","SB11202040319155","No","SANTANDER",68,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es agricultor, pesquero o jornalero","Es agricultor, pesquero o jornalero","11 A 25 LIBROS","Entre 1 y 2 horas","No Navega Internet","Menos de 10 horas","OFICIAL","N","COMPLETA",42,35,27,35,39,175
"M","SB11202040291221","No","BOLIVAR",13,"Estrato 2","Primaria incompleta","Secundaria (Bachillerato) completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 1 y 2 horas","Entre 30 y 60 minutos","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",48,60,59,51,41,267
"F","SB11202040541559","No","ATLANTICO",8,"Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja en el hogar, no trabaja o estudia","MÁS DE 100 LIBROS","Más de 2 horas","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL","N","TARDE",50,33,33,43,34,197
"M","SB11202040447849","Si","CORDOBA",23,"Estrato 2","Educación profesional completa","Secundaria (Bachillerato) incompleta","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",56,62,54,65,43,290
"F","SB11202040441478","No","ANTIOQUIA",5,"Estrato 2","Primaria incompleta","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","11 A 25 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","Menos de 10 horas","OFICIAL",NA,"UNICA",55,55,58,57,47,278
"M","SB11202040569405","No","BOGOTÁ",11,"Estrato 4","Educación profesional completa","Educación profesional completa","No sabe","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","0","NO OFICIAL",NA,"SABATINA",44,51,42,45,47,228
"M","SB11202040320282","No","ANTIOQUIA",5,"Estrato 3","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","OFICIAL","N","TARDE",50,48,52,48,60,252
"F","SB11202040093701","No","BOGOTÁ",11,"Estrato 3","Técnica o tecnológica completa","Técnica o tecnológica completa","Trabaja en el hogar, no trabaja o estudia","Es operario de máquinas o conduce vehículos (taxita, chofer)","0 A 10 LIBROS","No leo por entretenimiento","Más de 3 horas","0","OFICIAL",NA,"MAÑANA",62,55,52,57,43,277
